Stkcd,Accper,total_assets,tptal_liability,total_equity,operating profit
26,2015/12/31,4246670045,1943839720,2302830325,124623997.9
26,2016/6/30,4012803247,1683834270,2328968977,75269564.5
26,2016/12/31,4004897563,1629949373,2374948190,127382433.1
26,2017/6/30,3844990866,1420218889,2424771977,111627803
26,2017/12/31,3579789693,1111816816,2467972877,188476340.3
26,2018/6/30,3629325363,1050377520,2578947843,145934384.2
27,2014/6/30,36438130182,17288146889,19149983292,1250921262
27,2014/12/31,38441387697,18086802548,20354585148,2252099656
27,2015/6/30,48776522548,23938295358,24838227191,1270108544
27,2015/12/31,58067427403,33199554534,24867872869,2275729539
27,2016/6/30,58049565046,34037274617,24012290429,1079355834
27,2016/12/31,60862186185,36034527627,24827658558,1870264994
27,2017/6/30,68015862579,43231717268,24784145311,592583877.7
27,2017/12/31,77230930148,52508333189,24722596959,1292221064
27,2018/6/30,78800117170,54492611222,24307505949,726900183.1
28,2014/6/30,12490101654,7949973495,4540128159,416790159.3
28,2014/12/31,12828941541,7977726104,4851215437,781487168.1
28,2015/6/30,13812656490,8633887181,5178769309,482449506.4
28,2015/12/31,13218349735,7651874778,5566474957,906593242.9
28,2016/6/30,14485586577,8480801361,6004785216,653481677.2
28,2016/12/31,21312754512,12398770978,8913983534,1548158520
28,2017/6/30,22199774990,12849527723,9350247268,756593606.3
28,2017/12/31,22343643528,12416140771,9927502757,1463890680
28,2018/6/30,24013015677,13534391923,10478623754,850034085.9
29,2014/6/30,4389048261,2619928994,1769119267,49708643.45
29,2014/12/31,4375098314,2341993318,2033104996,399474826.9
29,2015/6/30,4462555956,2243066851,2219489105,249447426.9
29,2015/12/31,4179937121,1976489324,2203447796,409683201.7
29,2016/6/30,4476971687,2141037873,2335933814,175899805.7
29,2016/12/31,3785600783,1269633913,2515966870,419200422.7
29,2017/6/30,3795348771,1140130717,2655218054,184177402
29,2017/12/31,3989263982,1289241420,2700022562,243779515.6
29,2018/6/30,4516278981,1487905468,3028373513,440319083.7
30,2014/6/30,7279402449,2816141628,4463260821,363422219.9
30,2014/12/31,7271114435,2508871951,4762242484,659232127.6
